,probability
275,0.715
276,0.715
277,0.715
278,0.715
279,0.715
280,0.715
281,0.715
282,0.715
283,0.715
284,0.715
285,0.715
286,0.715
287,0.715
288,0.715
289,0.715
290,0.715
291,0.715
292,0.715
293,0.715
294,0.715
295,0.715
296,0.715
297,0.715
298,0.715
299,0.715
300,0.715
301,0.715
302,0.715
303,0.715
304,0.715
305,0.715
306,0.715
307,0.715
308,0.715
309,0.715
310,0.715
311,0.715
312,0.715
313,0.715
314,0.715
315,0.715
316,0.715
317,0.715
318,0.715
319,0.715
320,0.715
321,0.715
322,0.715
323,0.715
324,0.715
325,0.715
326,0.715
327,0.715
328,0.715
329,0.715
330,0.715
331,0.715
332,0.715
333,0.715
334,0.715
335,0.715
336,0.715
337,0.715
338,0.715
339,0.715
340,0.715
341,0.715
342,0.715
343,0.715
344,0.715
345,0.715
346,0.715
347,0.715
348,0.715
349,0.715
350,0.715
351,0.715
352,0.716
353,0.716
354,0.716
355,0.716
356,0.715
357,0.716
358,0.716
359,0.716
360,0.716
361,0.716
362,0.716
363,0.716
364,0.716
365,0.716
366,0.716
367,0.716
368,0.716
369,0.716
370,0.716
371,0.716
372,0.716
373,0.716
374,0.716
375,0.716
376,0.716
377,0.716
378,0.716
379,0.716
380,0.716
381,0.716
382,0.716
383,0.716
384,0.716
385,0.716
386,0.716
387,0.716
388,0.716
389,0.716
390,0.716
391,0.716
392,0.716
393,0.716
394,0.716
395,0.716
396,0.716
397,0.716
398,0.716
399,0.716
400,0.716
401,0.716
402,0.716
403,0.716
404,0.716
405,0.716
406,0.716
407,0.716
408,0.716
409,0.716
410,0.716
411,0.716
412,0.716
413,0.716
414,0.716
415,0.716
416,0.716
417,0.716
418,0.716
419,0.717
420,0.717
421,0.717
422,0.717
423,0.717
424,0.716
425,0.716
426,0.716
427,0.716
428,0.716
429,0.716
430,0.716
431,0.716
432,0.716
433,0.716
434,0.716
435,0.716
436,0.716
437,0.716
438,0.716
439,0.716
440,0.716
441,0.716
442,0.716
443,0.716
444,0.716
445,0.716
446,0.717
447,0.717
448,0.717
449,0.717
450,0.717
451,0.717
452,0.717
453,0.717
454,0.717
455,0.717
456,0.717
457,0.717
458,0.717
459,0.717
460,0.717
461,0.717
462,0.717
463,0.717
464,0.717
465,0.717
466,0.717
467,0.717
468,0.717
469,0.717
470,0.717
471,0.717
472,0.717
473,0.717
474,0.717
475,0.717
476,0.717
477,0.717
478,0.717
479,0.717
480,0.717
481,0.717
482,0.717
483,0.717
484,0.717
485,0.717
486,0.717
487,0.717
488,0.717
489,0.717
490,0.717
491,0.717
492,0.717
493,0.717
494,0.717
495,0.717
496,0.717
497,0.717
498,0.717
499,0.717
500,0.717
