,probability
384,0.769
385,0.769
386,0.769
387,0.769
388,0.769
389,0.769
390,0.769
391,0.769
392,0.769
393,0.769
394,0.769
395,0.769
396,0.769
397,0.769
398,0.769
399,0.77
400,0.77
401,0.77
402,0.77
403,0.77
404,0.77
405,0.77
406,0.77
407,0.77
408,0.77
409,0.769
410,0.769
411,0.77
412,0.77
413,0.77
414,0.769
415,0.769
416,0.77
417,0.77
418,0.77
419,0.77
420,0.77
421,0.77
422,0.77
423,0.77
424,0.77
425,0.77
426,0.77
427,0.77
428,0.77
429,0.77
430,0.77
431,0.77
432,0.77
433,0.77
434,0.77
435,0.77
436,0.77
437,0.77
438,0.77
439,0.77
440,0.77
441,0.77
442,0.77
443,0.77
444,0.77
445,0.77
446,0.77
447,0.77
448,0.77
449,0.77
450,0.77
451,0.77
452,0.77
453,0.77
454,0.77
455,0.77
456,0.77
457,0.77
458,0.77
459,0.77
460,0.77
461,0.77
462,0.77
463,0.77
464,0.77
465,0.77
466,0.77
467,0.77
468,0.77
469,0.77
470,0.77
471,0.77
472,0.77
473,0.77
474,0.77
475,0.77
476,0.77
477,0.77
478,0.77
479,0.77
480,0.77
481,0.77
482,0.77
483,0.77
484,0.77
485,0.77
486,0.77
487,0.77
488,0.77
489,0.77
490,0.77
491,0.77
492,0.77
493,0.77
494,0.77
495,0.77
496,0.77
497,0.77
498,0.771
499,0.771
500,0.771
